CL_IRFCL_INDICATOR_PUB,International Reserves and Foreign Currency Liquidity (IRFCL) Indicator
IRFCLDT3_IRFCL95T_PB_BONS1XABIS_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95T_PB_BONS1XAIMF_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT2_IRFCL50T_FO_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, trade credit, Outflows (reserves template)"
IRFCLDT3_IRFCL95T_PT_TONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT2_IRFCL49T_IN_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, related to reverse repos, Inflows"
IRFCLDT2_IRFCL47T_IN_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, other accounts receivable, Inflows"
IRFCLDT3_IRFCL95T_PT_TONS1XAIMF_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95T_PT_TONS1XABIS_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT2_IRFCL48T_FO_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, related to repos, Outflows (reserves template)"
IRFCLDT3_IRFCL95T_PT_TONS1XAIMF_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95T_PT_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95T_PT_BOFIORC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95T_PT_BOFIRC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, banks and other financial institutions in the reporting country"
IRFCLDT2_IRFCL46T_FO_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, other accounts payable, Outflows (reserves template)"
IRFCLDT3_IRFCL95T_PB_BOFIRC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95T_PB_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95T_PB_BOFIORC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT2_IRFCL1T_IN_LP_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ã£ vis the domestic currency (including the forward leg of currency swaps), Inflows, Long positions"
IRFCLDT1_FR4OTH_EUR_IRFCL13,"Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other reserve assets"
IRFCLDT1_FR4OTH_USD_IRFCL13,"Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other reserve assets"
IRFCLDT1_FR4OTH_XDC_IRFCL13,"Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other reserve assets"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by"
IRFCLDT3_IRFCL95_SUTM_PB_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by"
IRFCLDT3_IRFCL95_SUTM_PB_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by"
IRFCLDT3_IRFCL95_SUTM_PB_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by"
IRFCLDT3_IRFCL95_SM3MUTY_PB_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by"
IRFCLDT3_IRFCL95_SM3MUTY_PB_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by"
IRFCLDT3_IRFCL95_SM3MUTY_PB_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_TONS1XA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_TONS1XA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SUTM_PB_TONS1XA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SUTM_PB_TONS1XA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SUTM_PB_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PB_TONS1XA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PB_TONS1XA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PB_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XABIS_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XABIS_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XABIS_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XABIS_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XABIS_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XABIS_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAIMF_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAIMF_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAIMF_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAIMF_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAIMF_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAIMF_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAIMF_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAIMF_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAIMF_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAOTH_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAOTH_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAOTH_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAOTH_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAOTH_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAOTH_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAOTH_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAOTH_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAOTH_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAONA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAONA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BONS1XAONA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAONA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAONA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SUTM_PB_BONS1XAONA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAONA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAONA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BONS1XAONA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BOFIORC_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BOFIORC_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BOFIORC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SUTM_PB_BOFIORC_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SUTM_PB_BOFIORC_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SUTM_PB_BOFIORC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BOFIORC_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BOFIORC_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BOFIORC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, banks and other financial institutions outside reporting country"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BOFIRC_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BOFIRC_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SM1MUT3M_PB_BOFIRC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SUTM_PB_BOFIRC_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SUTM_PB_BOFIRC_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SUTM_PB_BOFIRC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BOFIRC_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BOFIRC_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SM3MUTY_PB_BOFIRC_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided by, banks and other financial institutions in the reporting country"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to"
IRFCLDT3_IRFCL95_SUTM_PT_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to"
IRFCLDT3_IRFCL95_SUTM_PT_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to"
IRFCLDT3_IRFCL95_SUTM_PT_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to"
IRFCLDT3_IRFCL95_SM3MUTY_PT_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to"
IRFCLDT3_IRFCL95_SM3MUTY_PT_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to"
IRFCLDT3_IRFCL95_SM3MUTY_PT_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PT_TONS1XA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PT_TONS1XA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM3MUTY_PT_TONS1XA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to, Other National Monetary authorities and international organizations"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XABIS_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XABIS_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XABIS_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XABIS_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM3MUTY_PT_TONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM3MUTY_PT_TONS1XABIS_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM3MUTY_PT_TONS1XABIS_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 3 months and up to 1 year, Provided to, Other National Monetary authorities and international organizations, BIS"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XAIMF_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XAIMF_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SM1MUT3M_PT_TONS1XAIMF_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, More than 1 and up to 3 months, Provided to, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XAIMF_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations, IMF"
IRFCLDT3_IRFCL95_SUTM_PT_TONS1XAIMF_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Undrawn unconditional credit lines, Up to 1 month, Provided to, Other National Monetary authorities and international organizations, IMF"
